,degree_type,,,,
Bachleor of Science,1,,,,
Bachleor Of Science,1,,,,
Bachleors,1,,,,
Bachleor's,1,,,,
Bachlor,8,,,,
Bachlor of Commerce,1,,,,
bachlor of computer application,1,,,,
Bachlor of Electrical and Electr,1,,,,
Bachlor of Science,1,,,,
Bachlor of Science (2),1,,,,
Bachlor of Techonology,1,,,,
Bachlor Science,1,,,,
Bachlore of Engineering,1,,,,
Bachlors,7,,,,
Bachlor's Degree,6,,,,
Bachlors of Arts,2,,,,
Bachlor's of Science,2,,,,
Bacholar in Science,1,,,,
Bacholar's Degree,1,,,,
Bacholer of Science,1,,,,
Bacholers of Engg,1,,,,
Bacholor of Commerce,1,,,,
Bachuler degree,1,,,,
BACS,3,,,,
BADM,1,,,,
BAFS,1,,,,
Bagroot,1,,,,
Bagrut,1,,,,
BAH,3,,,,
Bahelor's,1,,,,
BAI,4,,,,
"BAI & BA,",1,,,,
BAI and BA,1,,,,
"BAI, BA Maths",1,,,,
"BAI, MA",1,,,,
BAJourn,1,,,,
BA-Journalism with Honors,1,,,,
Bal Bharati Public School,1,,,,
Banchelor,1,,,,
Banking,1,,,,
Banking and Finance,1,,,,
BAppSc,1,,,,
BAPSC,1,,,,
Bar Admission,1,,,,
Barcelor,1,,,,
BARCH,1,,,,
BArch,1,,,,
barchelor,2,,,,
Barchelor,1,,,,
BARCHELOR,1,,,,
Barrister,1,,,,
Barrister of Law,1,,,,
BA's (2,1,,,,
"BAS, magna cum laude",1,,,,
"BAs, MAs, PhDs, certifications, ",1,,,,
"BAS/BA, Biomedical Science, Biol",1,,,,
BASC,105,,,,
BASc,2,,,,
BASc (Eng.),1,,,,
BaSCEngSci,1,,,,
Baschelor's of Science,1,,,,
Basic Medical Science (B.Med.Sc.,1,,,,
Basico,1,,,,
BASW,1,,,,
Batchalor,1,,,,
Batchelor,1,,,,
batchelor,1,,,,
Batchelor of Arts,2,,,,
Batchelor of Commerce,2,,,,
Batchelor of Computer Science,1,,,,
Batchelor of Engineering,1,,,,
Batchelor of Science,3,,,,
Batchelors,2,,,,
batchelors,1,,,,
Batchelors (LLB),1,,,,
Batchelor's degree,1,,,,
Batxillerat i COU,1,,,,
BB.Tech,1,,,,
BBA,1661,,,,
BBA - Bachelor of Business Admin,5,,,,
BBA - First Class Honours,1,,,,
BBA & BA,1,,,,
BBA & MBA,1,,,,
BBA (CAM),1,,,,
BBA (Hons),2,,,,
"BBA (Hons),",1,,,,
BBA (Hons.),1,,,,
BBA (Magna cum laude),1,,,,
BBA (Summa cum laude),2,,,,
BBA and  MBA,1,,,,
BBA and MBA,2,,,,
BBA and Valedictorian,1,,,,
BBA European Management,1,,,,
BBA Finance,1,,,,
"BBA Financial Consulting,",1,,,,
BBA Financial Resource Mgmt,1,,,,
BBA Honors,1,,,,
BBA Honours,1,,,,
BBA With Honors,1,,,,
BBA(Mktg),1,,,,
"BBA, Business Administration",1,,,,
"BBA, Double Major",1,,,,
"BBA, Finance, Accounting",1,,,,
"BBA, Finance, Economics",1,,,,
"BBA, JD",1,,,,
"BBA, Marketing and Corporate Str",1,,,,
"BBA, MIS, QBA",1,,,,
BBA/ MPA,1,,,,
BBA/MPA,1,,,,
BBB,1,,,,
BBBA,1,,,,
BBC Degree,1,,,,
BBLS,1,,,,
BBM,4,,,,
BBR,1,,,,
BBS,47,,,,
BBus,2,,,,
BBUS,1,,,,
BBus in Finance and Accounting,1,,,,
"BBus, Marketing, Advertising",1,,,,
BBusSci,2,,,,
BC,5,,,,
Bc.,2,,,,
BCA,20,,,,
BcA,1,,,,
BCA/BA,1,,,,
BCc,1,,,,
BCE,2,,,,
Bch,1,,,,
BCHE,1,,,,
BChir,1,,,,
BCIS,1,,,,
BCL,1,,,,
BCL & LLB,1,,,,
BCL 1st Class Honours,1,,,,
BCM,2,,,,
BCMPH,1,,,,
BCMS,1,,,,
BCMT,1,,,,
BCOM,434,,,,
Bcom,2,,,,
BCom,1,,,,
BCOM (Honors),1,,,,
BCom (Honours),1,,,,
BCom (Hons),1,,,,
BCom (Hons) (Inf. Sys),1,,,,
BCOM (PPE),1,,,,
BCom / DipCom,1,,,,
BCom Honours,1,,,,
"BCom Hons(Accounting), Finance",1,,,,
BCom LLB (Hons),1,,,,
BCom(H),1,,,,
BCom(Hons),1,,,,
BCOM(HONS),1,,,,
BComm,1,,,,
BComm (Co-Op),1,,,,
Bcomm + HON in Econ,1,,,,
BComm and BA,1,,,,
BComm degree,1,,,,
"BCOMM, Marketing and finance",1,,,,
Bcommerce,1,,,,
BComp,3,,,,
BComp-BSc,1,,,,
BCP,1,,,,
BCS,47,,,,
BCS (Hons),1,,,,
BcS. IT,1,,,,
BCSH,1,,,,
BCS-H,1,,,,
BD,1,,,,
BD in IT,1,,,,
BDes,2,,,,
Bdes,1,,,,
BE,1344,,,,
BE - Bachelor of Engineering,1,,,,
BE (Chem),1,,,,
BE (hons I),1,,,,
BE (Hons I),1,,,,
"BE (hons I),",1,,,,
BE (Hons),1,,,,
BE and MS,1,,,,
BE Electrical,1,,,,
BE Electrical Engineering,1,,,,
"BE Hon1, Univ Medal",1,,,,
BE Hons,2,,,,
BE(Hons),1,,,,
"BE(Hons),",1,,,,
"BE, Computer Science and Enginee",1,,,,
"BE, magna cum laude",1,,,,
"BE, MS",1,,,,
"BE.,MBA.,LLB.,",1,,,,
BE/BCom,1,,,,
BE/BS,1,,,,
BE/BS (Engineering),1,,,,
BEc,4,,,,
BEc.,1,,,,
Bechelor,4,,,,
bechelor,1,,,,
Bechelor of Science in Business ,1,,,,
bechlor,1,,,,
BEcon,1,,,,
BEcops,2,,,,
BEd,2,,,,
B'Ed Hons,1,,,,
BEE,11,,,,
BEEE,1,,,,
BEET,1,,,,
Behavioral Science and Health Ad,1,,,,
BENG,207,,,,
BEng,2,,,,
BEng (Hons) 1st class,1,,,,
BEng Computer,1,,,,
BEng Honours,1,,,,
BEng Hons (2:1),1,,,,
BEng Hons First Class,1,,,,
"BEng, Computer Systems Engineeri",1,,,,
"BEng, Mechanical Engineering",1,,,,
BEng/MEng,1,,,,
BEngSc,1,,,,
BEP,1,,,,
BEPC,1,,,,
Berhitung,1,,,,
Berkeley Columbia MBA,1,,,,
BES,3,,,,
BESc,2,,,,
BET,1,,,,
BF,1,,,,
BFA,314,,,,
BFA & BFA,1,,,,
BFA (Painting),1,,,,
BFA  Magna Cum Laude,1,,,,
BFA and MFA,1,,,,
BFA Graphic Design,1,,,,
BFA New Media,1,,,,
"BFA, Communication Arts emphasis",1,,,,
"BFA, Fine Art and Photography",1,,,,
BFA/BA,1,,,,
BFAA,1,,,,
BGD,2,,,,
BGS,7,,,,
BHA,1,,,,
BHB,3,,,,
BHM-HOTEL MANAGEMENT,1,,,,
BHMS,1,,,,
BHS,1,,,,
BHSc,1,,,,
BI,1,,,,
BIB,1,,,,
BID,3,,,,
BIE,4,,,,
Bilingual Administrative Assista,1,,,,
Bilingual Baccalaureat,1,,,,
Bilingual Executive Secretarial,1,,,,
BInfoTech,2,,,,
Biochemical Engineering,1,,,,
Biochemistry,4,,,,
Bioengineer,1,,,,
Biology,6,,,,
Biology and Economics,1,,,,
biomedical engineering,1,,,,
Biomedical Engineering,1,,,,
BioMedical Engineering,1,,,,
Bio-Medical Engineering,1,,,,
biotech,1,,,,
Biotechnology,1,,,,
Biotecnologia,1,,,,
BIS,5,,,,
BIS Multimedia,1,,,,
BISyE,1,,,,
BIT,5,,,,
BIT/BSc,1,,,,
Biz Dev Specialization (FEMBA),1,,,,
BJ,3,,,,
BLA,2,,,,
Black Belt 3rd,1,,,,
BLaw,1,,,,
Blogger,1,,,,
BLS,3,,,,
BM,11,,,,
BMath,12,,,,
"BMath, MASc",1,,,,
BMBch,1,,,,
BME,7,,,,
BME (summa cum laude),1,,,,
"BME, KTH",1,,,,
BME/TIM,1,,,,
BMed,1,,,,
BMedSci,1,,,,
BMM,1,,,,
BMS,2,,,,
BMus,6,,,,
Bmus,2,,,,
BMUS,1,,,,
Bmus 2:1 (perf),1,,,,
"BMus, Music",1,,,,
Board Certification,3,,,,
Board certification,1,,,,
"Board Certification, ABEM",1,,,,
Board Certified,1,,,,
"Board of Directors, Department o",1,,,,
BofA,2,,,,
boner,1,,,,
BOT,1,,,,
BPD,1,,,,
BPharm,1,,,,
BPhil,1,,,,
BPhty,1,,,,
BPSE,1,,,,
Brain research,1,,,,
"Bridge Program,",1,,,,
Broadcast Journalism,1,,,,
Broadcasting,1,,,,
Broker/Owner,1,,,,
BS,23293,,,,
BS - Business Admin.,1,,,,
BS - Business Management,1,,,,
BS & BA,4,,,,
BS & Honors Thesis in Ethics in ,1,,,,
BS & MA,1,,,,
"BS & MBA,",1,,,,
BS & MS,6,,,,
"BS & MS,",1,,,,
BS (April 2014),1,,,,
BS (Dual),1,,,,
BS (Honors,1,,,,
BS (Hons),1,,,,
Bs (hons),1,,,,
BS (Hon's),1,,,,
BS (Hons.),1,,,,
BS (Marketing,1,,,,
BS / BA,2,,,,
BS / MBA,1,,,,
BS / MS,2,,,,
"BS / MS, EECS",1,,,,
BS + BA,1,,,,
BS + MS,1,,,,
BS Accounting,1,,,,
BS Advertising,1,,,,
BS and an MAcc,1,,,,
BS and an MBA,2,,,,
BS and an MS,1,,,,
BS and BA,1,,,,
BS and Master's,1,,,,
BS and MBA,3,,,,
BS and PHD,1,,,,
BS BME,1,,,,
BS Business Admin,1,,,,
BS Business Administration,2,,,,
BS Business Management,1,,,,
BS Business MS Adult Education,1,,,,
BS ChemE,1,,,,
BS Commerce,2,,,,
BS Comp Eng,1,,,,
BS Computer Engineering,1,,,,
BS Computer Science,3,,,,
BS CSci,1,,,,
BS cum laude,2,,,,
BS degree,3,,,,
BS Degree,2,,,,
BS Design,1,,,,
BS Econ,3,,,,
"BS Econ, BS Engg",1,,,,
BS Econimics,1,,,,
BS Economcis,1,,,,
BS Economics,5,,,,
BS Economics / BSE Electrical En,1,,,,
BS Economics with Financial Appl,1,,,,
BS Ed,1,,,,
BS EE,1,,,,
BS EE / CS,1,,,,
BS Electrical Engineerin,1,,,,
BS Electrical Engineering,1,,,,
BS Electronics & Communication E,2,,,,
BS Eng,1,,,,
BS Engineering,4,,,,
BS Finance,3,,,,
"BS Finance, Finance,",1,,,,
BS Foreign Service,1,,,,
BS Healthcare Administration,1,,,,
BS hons,2,,,,
BS Hons,1,,,,
BS I&OE,1,,,,
BS ILR,1,,,,
BS in Accounting & BS in MIS,1,,,,
BS in BA,2,,,,
BS in Business Administration,7,,,,
BS in Business Adminstration,1,,,,
BS in Commerce,3,,,,
BS in Communications,2,,,,
BS in Computer Engineering,1,,,,
BS in Computer Science,2,,,,
BS in CS,2,,,,
BS in Economics,9,,,,
BS in EIT,1,,,,
BS in Engineering,1,,,,
BS in Engineering Chemistry,1,,,,
BS in Foreign Service,1,,,,
"BS in French, Minor in Business",1,,,,
BS in Information Management,1,,,,
BS in Mechanical Engineering,3,,,,
BS- Ind Mgmt,1,,,,
BS IT,1,,,,
BS M.E,1,,,,
BS Major,1,,,,
BS Marketing,4,,,,
BS Math,1,,,,
BS Mathematics,1,,,,
BS Mechanical engg,1,,,,
BS Mechanical Engineering,1,,,,
BS Medical Technology,1,,,,
BS Minor,1,,,,
BS MS,1,,,,
BS Nursing,1,,,,
BS of Business Administration,1,,,,
BS Pharmacy,1,,,,
BS PL,1,,,,
BS Robert H Smith School of Busi,1,,,,
BS Symbolic Systems,1,,,,
BS with College Honors,1,,,,
BS with High Distinction,1,,,,
BS with High Honors,1,,,,
BS with honors,1,,,,
BS with Honors,1,,,,
BS(CS) Hons.,1,,,,
BS(Hons),1,,,,
BS(IT),1,,,,
"BS, AB",1,,,,
"BS, Accounting",2,,,,
"BS, Agricultural Economics",1,,,,
"BS, Applied Economics, Computer ",1,,,,
"BS, BAH",1,,,,
"BS, Biochemistry",1,,,,
"BS, Biology",1,,,,
"BS, Business",3,,,,
"BS, Business Administration",1,,,,
"BS, Business Administration and ",1,,,,
"BS, Business Information Technol",1,,,,
"BS, Business Management",1,,,,
"BS, Business Management / IT",1,,,,
"BS, Chemical-Biological Engineer",1,,,,
"BS, Civil Engineering",1,,,,
"BS, Computer Engineering",1,,,,
"BS, Computer Science",1,,,,
"BS, Computer Science & Engineeri",1,,,,
"BS, cum laude",1,,,,
"BS, Economics",2,,,,
"BS, Economics - Honors Program",1,,,,
"BS, Economics (Concentrations: F",1,,,,
"BS, Economics, Mathematics",1,,,,
"BS, EECS",1,,,,
"BS, Electrical Engineering",1,,,,
"BS, Electrical Enginering",1,,,,
"BS, Engineering",2,,,,
"BS, Finance",1,,,,
"BS, History",1,,,,
"BS, Honors",2,,,,
"BS, JD",1,,,,
"BS, JD, MBA",1,,,,
"BS, Journalism",1,,,,
"BS, Labor Relations",1,,,,
"BS, Life Sciences",1,,,,
"BS, M.Eng., ECE",1,,,,
"BS, M.Phil.",1,,,,
"BS, MA",1,,,,
"BS, Magna cum Laude",1,,,,
"BS, Magna Cum Laude Magnum Cum L",1,,,,
"BS, Major",1,,,,
"BS, Mass Communications",1,,,,
"BS, MBA",2,,,,
"BS, MCE",1,,,,
"BS, MIS",2,,,,
"BS, MS",19,,,,
"BS, MS and Ph.D.",1,,,,
"BS, MS and PhD",1,,,,
"BS, MS, EE",1,,,,
"BS, MS, PhD, Engineering",1,,,,
"BS, Operations Research & Inform",1,,,,
"BS, Summa Cum Laude",1,,,,
"BS, with highest honors",1,,,,
"BS, with honors",1,,,,
"BS,MD",1,,,,
"Bs. Sc., Biochemistry",1,,,,
BS.c Business Administration,1,,,,
BS.c-Hon.,1,,,,
BS/BA,20,,,,
BS/BA/MS,1,,,,
BS/MBA,1,,,,
BS/MS,19,,,,
BS/MSE,1,,,,
BS/MSEE,2,,,,
BS/MSME,1,,,,
BS:Business Administration,1,,,,
BS; MS,1,,,,
BSA,6,,,,
BSAC,1,,,,
"BSAC, Accounting",1,,,,
BSAP,1,,,,
BSB,6,,,,
bsb,1,,,,
"BSB, Markeitng",1,,,,
BSBA,6,,,,
BSBA - cum laude,1,,,,
BSBA-MKG,1,,,,
BSBE,1,,,,
BSBM,3,,,,
BSBME,1,,,,
BSBU,1,,,,
BSc,55,,,,
Bsc,16,,,,
BSC,1,,,,
BSc - 1st Class Honours,1,,,,
BSc & MA,1,,,,
BSc (1st Class Hons.),1,,,,
BSc (1st Hons),1,,,,
BSc (2:1),1,,,,
BSc (BIT),1,,,,
BSc (Business Admninistration),1,,,,
BSc (cum laude),1,,,,
BSc (Dropout),1,,,,
BSc (Dual hons.),1,,,,
BSC (Econ),1,,,,
BSc (Eng),1,,,,
Bsc (Eng) (Elec),1,,,,
BSc (Eng) Hons,1,,,,
BSc (Honours 1st Class),1,,,,
BSc (Honours),2,,,,
BSc (Hons I),1,,,,
BSc (Hons),1,,,,
BSc (Hons) 1st class,1,,,,
BSc (Hons) 2.1,1,,,,
BSC (Hons) 2:1,1,,,,
BSc (Hons) Business Systems Mana,1,,,,
"BSc (Hons) DPS - 2:1, Accounting",1,,,,
BSc (Hons) Sandwich,1,,,,
"BSc (Hons), Business Information",1,,,,
BSc (Hons)_,1,,,,
BSc (Horns),1,,,,
BSc (Joint Hons),1,,,,
"BSc / BEng, Chemical Engineering",1,,,,
BSc / MSc,1,,,,
BSc 1st Class Honours,1,,,,
BSc 2.1,1,,,,
BSc 2.1 (Honours),1,,,,
BSC 2:1,1,,,,
BSc and MSc,1,,,,
BSc and PhD,1,,,,
BSC AND PHD,1,,,,
BSc ARCS,2,,,,
BSc Astrophysics,1,,,,
BSc Commerce,1,,,,
BSc Computer Engineering and Inf,1,,,,
BSc Computer Science,2,,,,
Bsc Computer Science,1,,,,
BSC CS,1,,,,
BSC Econ 1st Class,1,,,,
BSc Economics,1,,,,
BSC EE,1,,,,
BSc Eng (Hons),1,,,,
BSc Engineering,2,,,,
BSC HON,1,,,,
Bsc Hon,1,,,,
BSc Honors,5,,,,
BSC- Honors,1,,,,
BSc Honours,6,,,,
BSC Honours,3,,,,
Bsc Honours,1,,,,
BSc Hons Degree,1,,,,
BSc Hons First class,1,,,,
"BSc Hons, Financial Services",1,,,,
BSc in Applied Math,1,,,,
BSc in BA,1,,,,
BSc in Computer Science,1,,,,
Bsc In CSE,1,,,,
BSc in Management (Hons),1,,,,
BSc International Business Admin,1,,,,
BSc Mathematics,1,,,,
BSc Mech Eng,1,,,,
BSc PhD DSc,1,,,,
BSc Product Design and Technolog,1,,,,
BSc Special Honors,1,,,,
BSc Telecommunications Engineeri,1,,,,
Bsc with Honors,1,,,,
BSc(Appli.Sci),1,,,,
BSc(dropped out of university  f,1,,,,
BSc(Econ),2,,,,
"BSc(Hons), Biochemistry and Mole",1,,,,
BSc(Hons)+Uni. Medal,1,,,,
BSc(IT),1,,,,
BSC(IT),1,,,,
"BSc, Biological Sciences (Microb",1,,,,
"BSc, Business Studies",1,,,,
"BSc, Chemistry",1,,,,
"BSc, Computer Engineering",1,,,,
"BSc, CPSC",1,,,,
"BSc, Engineering",1,,,,
"BSc, Engineering Science",1,,,,
"BSc, Environmental and Energy Te",1,,,,
"BSC, Finance",1,,,,
"BSc, Government and Economics",1,,,,
"BSc, LL.B",1,,,,
"BSc, LLB(Hons)",1,,,,
"BSc, Mathematics",1,,,,
"BSc, MB, ChB",1,,,,
"BSc, MSc",1,,,,
"BSc, Nanoscience & Nanotechnolog",1,,,,
BSc.,8,,,,
Bsc.,1,,,,
BSc. & MSc,1,,,,
Bsc. (GE3),1,,,,
Bsc. (Ha),1,,,,
BSc. (Hons) II.I,1,,,,
Bsc. 1st Class Hons.,1,,,,
BSc. and MSc.,1,,,,
Bsc. Bus/Admin,1,,,,
Bsc. Business Administration,1,,,,
Bsc. Business Administration and,1,,,,
BSc. Chemical Eng.,1,,,,
BSc. Computer Science,1,,,,
BSc. Eng.,1,,,,
BSc. Eng.(Civil),1,,,,
BSc. Honors,1,,,,
BSc. Honours,1,,,,
BSc. in Economics,1,,,,
Bsc. IT,1,,,,
BSc. with Honours,1,,,,
Bsc.(CA&IT),1,,,,
BSc.(Econ.),1,,,,
"BSc., 1st Class Joint Honours",1,,,,
"BSc., EE",1,,,,
"BSc., MSc.",1,,,,
Bsc.B.Eco,1,,,,
Bsc.Computer Engineering,1,,,,
Bsc.E,1,,,,
BSc.Eng,1,,,,
Bsc.Eng(Elec),1,,,,
BSc+MSc,1,,,,
BScBA,1,,,,
"BscCE,",1,,,,
BScCN,1,,,,
BSCE,13,,,,
BScE,3,,,,
BSCEE,1,,,,
BsCEE,1,,,,
BScEE,1,,,,
BSCEng,1,,,,
BScH,1,,,,
BSCH,1,,,,
BSChE,4,,,,
BSChE and MSChE,1,,,,
BSChmE,1,,,,
BSci,2,,,,
Bsci,1,,,,
Bsci Bmed Bsurg,1,,,,
BScIS,1,,,,
BSCIS,1,,,,
BSCO,1,,,,
BSCpE,2,,,,
BSCPE,1,,,,
BSCSE and MSEE,1,,,,
BscTe,1,,,,
BSE,7,,,,
BSE / BS,1,,,,
BSE / CSE,1,,,,
BSE / MSE,1,,,,
BSE Biomedical Engineering,1,,,,
BSE in Economics and Engineering,1,,,,
BSE Summa Cum Laude,1,,,,
"BSE, BA",1,,,,
"BSE, BAS,",1,,,,
"BSE, Biomedical Engineering",1,,,,
"BSE, BME, EE, CS",1,,,,
"BSE, Industrial and Operations E",1,,,,
"BSE, MSE",1,,,,
BSE/MS,1,,,,
BSEA,1,,,,
BSECE,2,,,,
BSEcon,1,,,,
BSECON,1,,,,
BSED,1,,,,
BSEd,1,,,,
BSEE,7,,,,
BSEE - Computer Science & Biomed,1,,,,
BSEE (Magna Cum Laude),1,,,,
BSEE and a MSEE,1,,,,
BSEE and Masters degree,1,,,,
BSEE degree,1,,,,
BSEE Minor CS,1,,,,
BSEE with Honors,1,,,,
"BSEE, BSPhysics",1,,,,
"BSEE, Business Minor",1,,,,
"BSEE, MSEE",3,,,,
"BSEE, with Honors",1,,,,
BSEE/MSCE,1,,,,
BSEE/MSEE,1,,,,
BS-EECS,1,,,,
BSEET,7,,,,
BsEng.,1,,,,
BSES,1,,,,
BSF,1,,,,
BSFS,17,,,,
"BSFS, International Economics",1,,,,
"BS-honorary, Chemistry",1,,,,
BS-honors,1,,,,
BSIE,12,,,,
"BSIE,",1,,,,
BSIM,1,,,,
Bsiness Degree,1,,,,
BSIT,4,,,,
bsit,1,,,,
BSJ,10,,,,
BSL,1,,,,
BSM,11,,,,
BSMDE,1,,,,
BSME,78,,,,
BSMe,1,,,,
BSME and an MBA,1,,,,
BSME and MS,1,,,,
BSME and MSME,1,,,,
"BSME, Mechanical Engineering",1,,,,
BSME/BSEE,1,,,,
BSN,7,,,,
BSOCSCI,1,,,,
BSP,1,,,,
BSPH,1,,,,
BSs,1,,,,
BSS,1,,,,
BSS(Honars),1,,,,
BSsp,1,,,,
BSSW,2,,,,
BSW,1,,,,
BT,2,,,,
BTE,1,,,,
BTEC Diploma,1,,,,
BTEC HNC,1,,,,
BTEC HND,1,,,,
BTEC National Diploma,2,,,,
BTECH,653,,,,
BTech,1,,,,
BTech & MS,1,,,,
BTech & MTech,1,,,,
B-Tech & M-Tech,1,,,,
BTech Computer Engineering,1,,,,
B-Tech Mechanical,1,,,,
BTech National Diploma,1,,,,
BTech Systems Development,1,,,,
"BTech, Chemical Engineering",1,,,,
"BTech, Electronics and Communica",1,,,,
BTECT,1,,,,
BTS,5,,,,
BTS Assistante de Direction en a,1,,,,
BTS Audiovisuel,1,,,,
BUP,1,,,,
BUP i COU,1,,,,
Burgerlijk Mijnbouwkundig Ingeni,1,,,,
Bursary (A-Levels),1,,,,
businees,1,,,,
Business,42,,,,
business,6,,,,
Business Admin,2,,,,
Business Administration,61,,,,
Business administration,2,,,,
business administration,2,,,,
BUSINESS ADMINISTRATION,2,,,,
Business Administration - Honour,1,,,,
Business Administration (ADE),1,,,,
business administration and acco,1,,,,
Business Administration and Comp,1,,,,
Business administration and hold,1,,,,
Business Administration and Mana,6,,,,
Business Administration degree,1,,,,
Business Administration Degree,1,,,,
Business Administration in Hotel,1,,,,
Business Administration with Spe,1,,,,
"Business Administration, Finance",1,,,,
Business Administration/Minor Sa,1,,,,
Business Adminitration & Marketi,1,,,,
Business Adminstration,2,,,,
business adminstration,1,,,,
business admnistration,1,,,,
Business Analyst (BA),1,,,,
Business and Management,4,,,,
Business Careers Initiative Degr,1,,,,
Business Case Program,1,,,,
Business Communication,1,,,,
Business Degree,7,,,,
Business degree,4,,,,
business degree,1,,,,
business degrees,1,,,,
Business degrees,1,,,,
Business Diploma,1,,,,
Business Directors Programme,1,,,,
Business Economics,3,,,,
Business Economy,1,,,,
Business Education,1,,,,
Business Engineering,1,,,,
Business Engineering Degree,1,,,,
Business Entrepreneurship,1,,,,
Business Finance,1,,,,
Business Honours,1,,,,
Business Law,1,,,,
Business Management,10,,,,
Business Management/Marketing,1,,,,
Business Managment,2,,,,
Business Marketing,1,,,,
Business Mgmnt and Finance,1,,,,
Business of Science,1,,,,
Business Plan,2,,,,
Business Preparatory classes,1,,,,
Business school,2,,,,
Business School,2,,,,
Business Science,1,,,,
Business Science (Hons),1,,,,
Business Studies,1,,,,
Business Studies Degree,1,,,,
"Business, Accounting, Marketing",1,,,,
"Business, Executive Program",1,,,,
"Business, Marketing",2,,,,
Business/Commerce,1,,,,
Bussiness Degree,1,,,,
butt,1,,,,
BVSc,1,,,,
BWL,2,,,,
c Phil,1,,,,
"C, C++ Certification",1,,,,
C. Ph (MA),1,,,,
C.A,3,,,,
C.A.G.S.,1,,,,
C.P.A.,6,,,,
C.Phil,1,,,,
C.Phill,1,,,,
CA,29,,,,
CA (SA),1,,,,
"CA (SA), Chartered Accountant",1,,,,
CA Graduate Program,1,,,,
CA(SA),1,,,,
CAC,1,,,,
CAD,1,,,,
CADE,1,,,,
CAM,1,,,,
Canadian Law,1,,,,
Canadian Securities Course,2,,,,
Cand Scient,1,,,,
Cand. Jur.,1,,,,
Cand. Scient.,1,,,,
cand.com,1,,,,
Candidate,1,,,,
CAO Designer and Conceptor degre,1,,,,
CAP,1,,,,
Career,1,,,,
CAS,1,,,,
"Categorical Resident, Internal M",1,,,,
CBA,1,,,,
CC,1,,,,
CCNA,7,,,,
CCNA Voice,1,,,,
"CCNA, MCSE",1,,,,
CCST in Forensic Psychiatry,1,,,,
CCST in Psychotherapy: Tavistock,1,,,,
CCU Graduate,1,,,,
CDL-A,1,,,,
CEAG,1,,,,
CEAS,2,,,,
CEBS,1,,,,
CEDT - DEPM,1,,,,
CEED degree,1,,,,
CEGEP,1,,,,
CEI,1,,,,
Celcius,1,,,,
CeMap,1,,,,
CEMS,1,,,,
CEMS Master,6,,,,
CEMS Masters,1,,,,
CEMS MIM,4,,,,
CEO International Business Progr,1,,,,
CEP,1,,,,
CEPAC,1,,,,
Cert,2,,,,
Cert in Mgmt,1,,,,
Cert IV Design,1,,,,
Cert IV in Information Technolog,1,,,,
Cert.,1,,,,
Cert. Mgmt.,1,,,,
Certificado de Estudios Avanzado,1,,,,
Certificat,2,,,,
Certificat d'Études Politiques,1,,,,
Certificat de formation continue,1,,,,
Certificate,139,,,,
certificate,3,,,,
Certificate - Economics of Entre,1,,,,
"Certificate - MBA studies, MBA o",1,,,,
Certificate (Cert RP),1,,,,
Certificate 3,1,,,,
Certificate Continuing Ed,1,,,,
Certificate Course,1,,,,
Certificate I,1,,,,
Certificate III,1,,,,
Certificate in Business Studies,1,,,,
Certificate in E-Commerce,1,,,,
Certificate in Enterprise,1,,,,
Certificate in Entrepreneurship,1,,,,
"Certificate in Investments, Inve",1,,,,
Certificate in Novel Wrting,1,,,,
Certificate in Project Managemen,1,,,,
Certificate in Real Estate Finan,1,,,,
Certificate in Web Design,1,,,,
Certificate IV,5,,,,
Certificate IV in Information Te,1,,,,
Certificate IV in Ministry,1,,,,
Certificate of attendance,1,,,,
Certificate of Citizenship,1,,,,
Certificate of Completion,3,,,,
Certificate of Economics,1,,,,
Certificate of Excellence in Bus,1,,,,
Certificate of Fundraising Manag,1,,,,
Certificate of Graduate Studies,1,,,,
Certificate of Graduation,2,,,,
Certificate of Higher Education,1,,,,
Certificate of Internet Technolo,1,,,,
Certificate of Journalism,1,,,,
Certificate of Management of Tec,1,,,,
Certificate of Second Education,1,,,,
Certificate of Special Studies i,1,,,,
Certificate Program,8,,,,
Certificate program,1,,,,
Certificate Programme,2,,,,
"Certificate, Certificate in Digi",1,,,,
"Certificate, Conflict Resolution",1,,,,
"Certificate, Courses-internship:",1,,,,
"Certificate, PE/VC",1,,,,
"Certificate, Project Management",1,,,,
certificate/ engineering,1,,,,
Certificated in Project Manageme,1,,,,
Certificated Paralegal,1,,,,
Certificates,2,,,,
certificates,1,,,,
Certification,32,,,,
certification,1,,,,
Certification  Course,1,,,,
Certifications (Level 1-3),1,,,,
Certified,8,,,,
certified,1,,,,
Certified Administrative Profess,1,,,,
Certified as Leadership Coach,1,,,,
Certified Helicopter Flight Inst,1,,,,
Certified Management Accountant,1,,,,
Certified Property Analyst,1,,,,
Certified Property Investor,1,,,,
Certified Public Accountant,3,,,,
Certified QE-Practitioner,1,,,,
Certified Rating Analyst,1,,,,
Certified Scrum Master,1,,,,
Certified Stanford Project Manag,1,,,,
Certified Tester Advanced Level ,1,,,,
Certified Tester Foundation Leve,1,,,,
Certified Usability Analyst,1,,,,
Certified User Experience Analys,1,,,,
Certified Wine Professional,1,,,,
Cetificate,1,,,,
CEU,1,,,,
CFA,21,,,,
CFA charter,1,,,,
CFA Charterholder,3,,,,
CFA charterholder,1,,,,
CFA Institute,1,,,,
CFA Institute Investment Managem,1,,,,
CFA Level 1,1,,,,
CFA Level I,1,,,,
CFA Level III,1,,,,
"CFA, Finance",1,,,,
